"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TAELGWLP","journalArticle","2012","Collignon, Amandine; Hecq, Jean-Henri; Glagani, François; Voisin, Pierre; Collard, France; Goffart, Anne","Neustonic microplastic and zooplankton in the North Western Mediterranean Sea","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2012.01.011","http://www.sciencedirect.com/science/article/pii/S0025326X12000343","Neustonic microplastic and zooplankton abundance was determined in the North Western Mediterranean Sea during a summer cruise between July 9th and August 6th 2010, with a break between July 22th and 25th due to a strong wind event. Ninety percent of the 40 stations contained microplastic particles (size 0.3–5mm) of various compositions: e.g., filaments, polystyrene, thin plastic films. An average concentration of 0.116particles/m2 was observed. The highest abundances (>0.36particles/m2) were observed in shelf stations. The neustonic plastic particles concentrations were 5 times higher before than after the strong wind event which increased the mixing and the vertical repartition of plastic particles in the upper layers of the water column. The values rise in the same order of magnitude than in the North Pacific Gyre. The average ratio between microplastics and mesozooplankton weights was 0.5 for the whole survey and might induce a potential confusion for zooplankton feeders.","2012-04-01","2021-01-14 14:47:28","2021-01-14 14:47:28","2021-01-14 14:47:28","861-864","","4","64","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\PHRJMBDJ\Collignon et al. - 2012 - Neustonic microplastic and zooplankton in the Nort.pdf; C:\Users\6161138\Zotero\storage\MSFJ8FEA\S0025326X12000343.html","","","Mediterranean Sea; Microplastic particles; Neuston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJ5BIPZ8","journalArticle","2014","Collignon, Amandine; Hecq, Jean-Henri; Galgani, François; Collard, France; Goffart, Anne","Annual variation in neustonic micro- and meso-plastic particles and zooplankton in the Bay of Calvi (Mediterranean–Corsica)","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2013.11.023","http://www.sciencedirect.com/science/article/pii/S0025326X13007248","The annual variation in neustonic plastic particles and zooplankton was studied in the Bay of Calvi (Corsica) between 30 August 2011 and 7 August 2012. Plastic particles were classified into three size classes, small microplastics (0.2–2mm), large microplastics (2–5mm) and mesoplastics (5–10mm). 74% of the 38 samples contained plastic particles of varying composition: e.g. filaments, polystyrene, thin plastic films. An average concentration of 6.2particles/100m2 was observed. The highest abundance values (69 particles/100m2) observed occurred during periods of low offshore wind conditions. These values rose in the same order of magnitude as in previous studies in the North Western Mediterranean. The relationships between the abundance values of the size classes between zooplankton and plastic particles were then examined. The ratio for the intermediate size class (2–5mm) reached 2.73. This would suggest a potential confusion for predators regarding planktonic prey of this size class.","2014-02-15","2021-01-14 14:48:20","2021-01-14 14:48:20","2021-01-14 14:48:20","293-298","","1","79","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\A7GBWIZI\Collignon et al. - 2014 - Annual variation in neustonic micro- and meso-plas.pdf; C:\Users\6161138\Zotero\storage\YUZE2LAX\S0025326X13007248.html","","","Mediterranean Sea; Mesoplastic particles; Microplastic particles; Neuston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIVILJ4L","journalArticle","2015","Cózar, Andrés; Sanz-Martín, Marina; Martí, Elisa; González-Gordillo, J. Ignacio; Ubeda, Bárbara; Gálvez, José Á; Irigoien, Xabier; Duarte, Carlos M.","Plastic Accumulation in the Mediterranean Sea","PLOS ONE","","1932-6203","10.1371/journal.pone.0121762","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0121762","Concentrations of floating plastic were measured throughout the Mediterranean Sea to assess whether this basin can be regarded as a great accumulation region of plastic debris. We found that the average density of plastic (1 item per 4 m2), as well as its frequency of occurrence (100% of the sites sampled), are comparable to the accumulation zones described for the five subtropical ocean gyres. Plastic debris in the Mediterranean surface waters was dominated by millimeter-sized fragments, but showed a higher proportion of large plastic objects than that present in oceanic gyres, reflecting the closer connection with pollution sources. The accumulation of floating plastic in the Mediterranean Sea (between 1,000 and 3,000 tons) is likely related to the high human pressure together with the hydrodynamics of this semi-enclosed basin, with outflow mainly occurring through a deep water layer. Given the biological richness and concentration of economic activities in the Mediterranean Sea, the affects of plastic pollution on marine and human life are expected to be particularly frequent in this plastic accumulation region.","2015-04-01","2021-01-14 14:48:56","2021-01-14 14:48:56","2021-01-14 14:48:56","e0121762","","4","10","","PLOS ONE","","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","C:\Users\6161138\Zotero\storage\RD939ENY\Cózar et al. - 2015 - Plastic Accumulation in the Mediterranean Sea.pdf; C:\Users\6161138\Zotero\storage\B7S6JTR7\article.html","","","Marine fish; Mediterranean Basin; Mediterranean Sea; Oceans; Plastics; Sea water; Surface water; Water pollution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMBC8YXE","journalArticle","2012","Fossi, Maria Cristina; Panti, Cristina; Guerranti, Cristiana; Coppola, Daniele; Giannetti, Matteo; Marsili, Letizia; Minutoli, Roberta","Are baleen whales exposed to the threat of microplastics? A case study of the Mediterranean fin whale (Balaenoptera physalus)","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2012.08.013","http://www.sciencedirect.com/science/article/pii/S0025326X12004122","Baleen whales are potentially exposed to micro-litter ingestion as a result of their filter-feeding activity. However, the impacts of microplastics on baleen whales are largely unknown. In this case study of the Mediterranean fin whale (Balaenoptera physalus), we explore the toxicological effects of microplastics on mysticetes. The study included the following three steps: (1) the collection/count of microplastics in the Pelagos Sanctuary (Mediterranean Sea), (2) the detection of phthalates in surface neustonic/planktonic samples, and (3) the detection of phthalates in stranded fin whales. A total of 56% of the surface neustonic/planktonic samples contained microplastic particles. The highest abundance of microplastics (9.63items/m3) was found in the Portofino MPA (Ligurian Sea). High concentrations of phthalates (DEHP and MEHP) were detected in the neustonic/planktonic samples. The concentrations of MEHP found in the blubber of stranded fin whales suggested that phthalates could serve as a tracer of the intake of microplastics. The results of this study represent the first warning of this emerging threat to baleen whales.","2012-11-01","2021-01-14 14:49:44","2021-01-14 14:49:44","2021-01-14 14:49:44","2374-2379","","11","64","","Marine Pollution Bulletin","Are baleen whales exposed to the threat of microplastics?","","","","","","","en","","","","","ScienceDirect","","","","","","","Fin whale; Mediterranean Sea; Microplastic particles; Neuston; Phthalates; Surface plankton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9GNZPWT","journalArticle","2016","Gajšt, Tamara; Bizjak, Tine; Palatinus, Andreja; Liubartseva, Svitlana; Kržan, Andrej","Sea surface microplastics in Slovenian part of the Northern Adriatic","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2016.10.031","http://www.sciencedirect.com/science/article/pii/S0025326X16308475","Plastics are the most common material of marine litter and have become a global pollution concern. They are persistent in the environment where they gradually degrade into increasingly smaller particles–microplastics (MP). Our study presents results of sea-surface monitoring for MP in the Slovenian part of the Trieste Bay in the Northern Adriatic Sea. In 17 trawls conducted over a 20-month period we found a high average concentration of 406×103MPparticles/km2. Over 80% of the particles were identified as polyethylene. The significant variability of MP concentrations obtained on different sampling dates is explained by use of surface current maps and a recently developed Markov chain marine litter distribution model for the Adriatic Sea.","2016-12-15","2021-01-14 14:50:39","2021-01-14 14:50:39","2021-01-14 14:50:39","392-399","","1","113","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\Z2WTUDDC\S0025326X16308475.html","","","Adriatic Sea; Marine litter; Markov chain model; Microplastics; Sea surface; Slovenian sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6SUVX3R","journalArticle","2017","Gündoğdu, Sedat; Çevik, Cem","Micro- and mesoplastics in Northeast Levantine coast of Turkey: The preliminary results from surface samples","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2017.03.002","http://www.sciencedirect.com/science/article/pii/S0025326X17302084","The determination of the microplastic distribution will be beneficial as a measure of the potential effects on the environment. The Mediterranean Sea had a high risk of pollution as it was enclosed by highly populated and industrialized countries. Here, we determined the level of micro- and mesoplastic pollution in Iskenderun and Mersin Bays, located in the Northeastern Levantine coast of Turkey. The average level of both micro- and mesoplastic was determined to be 0.376 item/m2 at seven stations. The highest level was determined in Mersin Bay at the mouth of the Seyhan river (Station no. 7, with 906 items), and the lowest level was found in Station no. 4 in Iskenderun Bay (78 items). As a result of this study, it was determined that the microplastic pollution level in the Mediterranean coast of Turkey was similar to the other regions of the Mediterranean Sea.","2017-05-15","2021-01-14 14:52:20","2021-01-14 14:52:20","2021-01-14 14:52:20","341-347","","1","118","","Marine Pollution Bulletin","Micro- and mesoplastics in Northeast Levantine coast of Turkey","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\58BJS2EZ\S0025326X17302084.html","","","Iskenderun Bay; Levantine Sea; Marine litter; Mersin Bay; Mesoplastic; Microplastic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4FFVEC9Z","journalArticle","2018","Gündoğdu, Sedat; Çevik, Cem; Ayat, Berna; Aydoğan, Burak; Karaca, Serkan","How microplastics quantities increase with flood events? An example from Mersin Bay NE Levantine coast of Turkey","Environmental Pollution","","0269-7491","10.1016/j.envpol.2018.04.042","http://www.sciencedirect.com/science/article/pii/S0269749118300939","Floods caused by heavy rain carry significant amounts of pollutants into marine environments. This study evaluates the effect of multiple floods that occurred in the northeastern Mediterranean region in Turkey between December 2016 and January 2017 on the microplastic pollution in the Mersin Bay. Sampling was repeated in four different stations both before and after the flood period, and it was determined that in the four stations, there was an average of 539,189 MPs/km2 before the flood, and 7,699,716 MPs/km2 afterwards, representing a 14-fold increase. Fourteen different polymer types were detected in an ATR FT-IR analysis, eight of which were not found in samples collected before the floods. The most common polymer type was identified as polyethylene both pre- and post-flood. The mean particle size, which was 2.37 mm in the pre-flood period, decreased to 1.13 mm in the post-flood period. A hydrodynamic modeling study was implemented to hindcast the current structure and the spatial and temporal distributions of microplastics within the study area. In conclusion, heavy rain and severe floods can dramatically increase the microplastic levels in the sea.","2018-08-01","2021-01-14 14:53:00","2021-01-14 14:53:00","2021-01-14 14:53:00","342-350","","","239","","Environmental Pollution","How microplastics quantities increase with flood events?","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\CBG8MT2I\S0269749118300939.html","","","ATR FT-IR; Levantine sea; Marine litter; Mersin bay; Microplastic; Rain flood","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZHUK3WY","journalArticle","2017","Güven, Olgaç; Gökdağ, Kerem; Jovanović, Boris; Kıdeyş, Ahmet Erkan","Microplastic litter composition of the Turkish territorial waters of the Mediterranean Sea, and its occurrence in the gastrointestinal tract of fish","Environmental Pollution","","0269-7491","10.1016/j.envpol.2017.01.025","http://www.sciencedirect.com/science/article/pii/S0269749116323910","Microplastic pollution of marine environment is receiving increased publicity over the last few years. The present survey is, according to our knowledge, the survey with the largest sample size analyzed, to date. In total, 1337 specimens of fish were examined for the presence of plastic microlitter representing 28 species and 14 families. In addition, samples of seawater and sediment were also analyzed for the quantification of microplastic in the same region. Samples of water/sediment were collected from 18 locations along the Mediterranean coast of Turkey. 94% of all collected plastic microlitter from the sea was in the size range between 0.1 and 2.5 mm, while the occurrence of other sizes was rare. The quantity of microplastic particles in surface water samples ranged from 16 339 to 520 213 per km2. Fish were collected from 10 locations from which 8 were either shared with or situated in the proximity of water/sediment sampling locations. A total of 1822 microplastic particles were extracted from stomach and intestines of fish. Majority of ingested particles were represented by fibers (70%) and hard plastic (20.8%), while the share of other groups: nylon (2.7%), rubber (0.8%) and miscellaneous plastic (5.5%) were low. The blue color of plastic was the most dominant color. 34% of all examined fish had microplastic in the stomach. On average, fish which had microplastic contained 1.80 particles per stomach. 41% of all fish had microplastic in the intestines with an average of 1.81 particles per fish. 771 specimens contained microplastic in either stomach and/or intestines representing 58% of the total sample with an average of 2.36 particles per fish. Microplastic was found in all species/families that had sample size of at least 2 individuals. The number of particles present in either stomach or intestines ranged between 1 and 35. Ingested microplastic had an average diameter ±SD of 656 ± 803 μm, however particles as small as 9 μm were detected. The trophic level of fish species had no influence whatsoever on the amount of ingested microplastic. Pelagic fish ingested more microplastic than demersal species. In general, fish that ingested higher number of microplastic particles originated from the sites that also had a higher particle count in the seawater and sediment.","2017-04-01","2021-01-14 14:53:14","2021-01-14 14:53:14","2021-01-14 14:53:14","286-294","","","223","","Environmental Pollution","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\KS4EV8TA\S0269749116323910.html","","","Fish; Marine litter; Microplastic; Nanoparticles; Plastic; Pollution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMINE49Y","journalArticle","2019","de Haan, William P.; Sanchez-Vidal, Anna; Canals, Miquel","Floating microplastics and aggregate formation in the Western Mediterranean Sea","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2019.01.053","http://www.sciencedirect.com/science/article/pii/S0025326X19300748","Pollution by large-sized plastics and microplastic debris is widespread in all Earth environments, also threatening marine ecosystems worldwide. In this study we determine the load of microplastics in the Western Mediterranean Sea and evaluate their aggregation potential into marine aggregates. We report average microplastic abundances of 0.10 ± 0.09 items m−2 (max: 0.50 items m−2). Abundances and chemical composition of microplastics are subject to temporal changes as a function of human activities in the areas of influence and shifting meteorological and sea-state conditions. We find that microplastics were on average smaller in mass than other studies conducted in the Mediterranean Sea indicating longer exposure times in the environment. The microplastic aggregation potential was determined by inspecting formed biogenic aggregates either during sample collection or in the laboratory. Smaller and more angular microplastics dominated in marine aggregates, representing an average 40% in abundance and 25% in mass of microplastics.","2019-03-01","2021-01-14 14:53:28","2021-01-14 14:53:28","2021-01-14 14:53:28","523-535","","","140","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\AQ9SPAE6\S0025326X19300748.html","","","Marine aggregates; Marine debris; Mediterranean Sea; Microplastics; Pollution sources","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MR92LCBJ","journalArticle","2017","van der Hal, Noam; Ariel, Asaf; Angel, Dror L.","Exceptionally high abundances of microplastics in the oligotrophic Israeli Mediterranean coastal waters","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2016.12.052","http://www.sciencedirect.com/science/article/pii/S0025326X16310566","Seasonal sea surface microplastic distribution was recorded at 17 sites along the Israeli Mediterranean coast. Microplastics (0.3–5mm) were found in all samples, with a mean abundance of 7.68±2.38particles/m3 or 1,518,340particles/km2. Some areas had higher abundances of microplastics than others, although differences were neither consistent nor statistically significant. In some cases microplastic particles were found floating in large patches. One of these patches contained an extraordinary number of plastic particles; 324particles/m3 or 64,812,600particles/km2. Microplastic abundances in Israeli coastal waters are disturbingly high; mean values were 1–2 orders of magnitude higher than abundances reported in other parts of the world. Light-colored (white or transparent) fragments were by far more abundant than all other microplastic colors and types. The results of this study underline the need for action to reduce the flux of plastics to the marine environment.","2017-03-15","2021-01-14 14:53:44","2021-01-14 14:53:44","2021-01-14 14:53:44","151-155","","1","116","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\GY8UKUKS\S0025326X16310566.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
