"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HNZMSMD3","journalArticle","2014","Woodall, Lucy C.; Sanchez-Vidal, Anna; Canals, Miquel; Paterson, Gordon L.J.; Coppock, Rachel; Sleight, Victoria; Calafat, Antonio; Rogers, Alex D.; Narayanaswamy, Bhavani E.; Thompson, Richard C.","The deep sea is a major sink for microplastic debris","Royal Society Open Science","","","10.1098/rsos.140317","https://royalsocietypublishing-org.proxy.library.uu.nl/doi/full/10.1098/rsos.140317","Marine debris, mostly consisting of plastic, is a global problem, negatively impacting wildlife, tourism and shipping. However, despite the durability of plastic, and the exponential increase in its production, monitoring data show limited evidence of concomitant increasing concentrations in marine habitats. There appears to be a considerable proportion of the manufactured plastic that is unaccounted for in surveys tracking the fate of environmental plastics. Even the discovery of widespread accumulation of microscopic fragments (microplastics) in oceanic gyres and shallow water sediments is unable to explain the missing fraction. Here, we show that deep-sea sediments are a likely sink for microplastics. Microplastic, in the form of fibres, was up to four orders of magnitude more abundant (per unit volume) in deep-sea sediments from the Atlantic Ocean, Mediterranean Sea and Indian Ocean than in contaminated sea-surface waters. Our results show evidence for a large and hitherto unknown repository of microplastics. The dominance of microfibres points to a previously underreported and unsampled plastic fraction. Given the vastness of the deep sea and the prevalence of microplastics at all sites we investigated, the deep-sea floor appears to provide an answer to the question—where is all the plastic?","2014","2021-01-26 13:13:19","2021-01-26 15:19:08","2021-01-26 13:13:19","140317","","4","1","","Royal Society Open Science","","","","","","","","","","","","","royalsocietypublishing-org.proxy.library.uu.nl (Atypon)","","Publisher: Royal Society","","C:\Users\6161138\Zotero\storage\2G9Q42IU\Woodall et al. - The deep sea is a major sink for microplastic debr.pdf; C:\Users\6161138\Zotero\storage\6NPZG9W3\rsos.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V92IZEXN","journalArticle","2013","Van Cauwenberghe, Lisbeth; Claessens, Michiel; Vandegehuchte, Michiel B.; Mees, Jan; Janssen, Colin R.","Assessment of marine debris on the Belgian Continental Shelf","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2013.05.026","http://www.sciencedirect.com/science/article/pii/S0025326X13002737","A comprehensive assessment of marine litter in three environmental compartments of Belgian coastal waters was performed. Abundance, weight and composition of marine debris, including microplastics, was assessed by performing beach, sea surface and seafloor monitoring campaigns during two consecutive years. Plastic items were the dominant type of macrodebris recorded: over 95% of debris present in the three sampled marine compartments were plastic. In general, concentrations of macrodebris were quite high. Especially the number of beached debris reached very high levels: on average 6429±6767 items per 100m were recorded. Microplastic concentrations were determined to assess overall abundance in the different marine compartments of the Belgian Continental Shelf. In terms of weight, macrodebris still dominates the pollution of beaches, but in the water column and in the seafloor microplastics appear to be of higher importance: here, microplastic weight is approximately 100 times and 400 times higher, respectively, than macrodebris weight.","2013-08-15","2021-01-26 13:14:01","2021-01-26 13:14:01","2021-01-26 13:14:01","161-169","","1","73","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\573NB3EF\Van Cauwenberghe et al. - 2013 - Assessment of marine debris on the Belgian Contine.pdf; C:\Users\6161138\Zotero\storage\LJ9AY4T9\S0025326X13002737.html","","","Abundance; Composition; Marine debris; Microplastics; Plastics; Southern North Sea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A79Z9QL3","journalArticle","2013","Van Cauwenberghe, Lisbeth; Vanreusel, Ann; Mees, Jan; Janssen, Colin R.","Microplastic pollution in deep-sea sediments","Environmental Pollution","","0269-7491","10.1016/j.envpol.2013.08.013","http://www.sciencedirect.com/science/article/pii/S0269749113004387","Microplastics are small plastic particles (<1 mm) originating from the degradation of larger plastic debris. These microplastics have been accumulating in the marine environment for decades and have been detected throughout the water column and in sublittoral and beach sediments worldwide. However, up to now, it has never been established whether microplastic presence in sediments is limited to accumulation hot spots such as the continental shelf, or whether they are also present in deep-sea sediments. Here we show, for the first time ever, that microplastics have indeed reached the most remote of marine environments: the deep sea. We found plastic particles sized in the micrometre range in deep-sea sediments collected at four locations representing different deep-sea habitats ranging in depth from 1100 to 5000 m. Our results demonstrate that microplastic pollution has spread throughout the world's seas and oceans, into the remote and largely unknown deep sea.","2013-11-01","2021-01-26 13:14:28","2021-01-26 13:14:28","2021-01-26 13:14:28","495-499","","","182","","Environmental Pollution","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\9QWMZ86Y\Van Cauwenberghe et al. - 2013 - Microplastic pollution in deep-sea sediments.pdf; C:\Users\6161138\Zotero\storage\NAAW2X9V\S0269749113004387.html","","","Deep sea; Microplastics; Pollution; Sediment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAE8DP3I","journalArticle","2020","Silvestrova, Ksenia; Stepanova, Natalia","The distribution of microplastics in the surface layer of the Atlantic Ocean from the subtropics to the equator according to visual analysis","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2020.111836","http://www.sciencedirect.com/science/article/pii/S0025326X20309541","This study reports the levels of plastic contamination in the Atlantic Ocean between 35°N and 32°S during the 1st stage of the 79th cruise of the “Akademik Mstislav Keldysh” from December 12, 2019, to January 4, 2020. A subsurface pump system and a Manta net were used for seawater filtration. Twenty-seven samples were visually analyzed with a microscope. It was found that almost every subsurface sample contained potentially plastic particles, which were classified according to their type and size. Plastic fragments were more commonly found in the samples taken from the surface. In the subsurface layer, the majority of the detected particles were fibers. These results also indicate that minimal concentrations of plastics tend to be found near the equator and to the north of the Canary Islands. The maximum microplastic concentrations were found in tropical zones. The obtained results are in good agreement with previous models and field studies.","2020-11-19","2021-01-26 13:15:10","2021-01-26 13:15:10","2021-01-26 13:15:10","111836","","","","","Marine Pollution Bulletin","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\5AZH9Z3Z\S0025326X20309541.html","","","Atlantic Ocean; Marine anthropogenic litter; Microplastics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARIK9HCR","journalArticle","2014","Rochman, Chelsea M.; Lewison, Rebecca L.; Eriksen, Marcus; Allen, Harry; Cook, Anna-Marie; Teh, Swee J.","Polybrominated diphenyl ethers (PBDEs) in fish tissue may be an indicator of plastic contamination in marine habitats","Science of The Total Environment","","0048-9697","10.1016/j.scitotenv.2014.01.058","http://www.sciencedirect.com/science/article/pii/S0048969714000679","The accumulation of plastic debris in pelagic habitats of the subtropical gyres is a global phenomenon of growing concern, particularly with regard to wildlife. When animals ingest plastic debris that is associated with chemical contaminants, they are at risk of bioaccumulating hazardous pollutants. We examined the relationship between the bioaccumulation of hazardous chemicals in myctophid fish associated with plastic debris and plastic contamination in remote and previously unmonitored pelagic habitats in the South Atlantic Ocean. Using a published model, we defined three sampling zones where accumulated densities of plastic debris were predicted to differ. Contrary to model predictions, we found variable levels of plastic debris density across all stations within the sampling zones. Mesopelagic lanternfishes, sampled from each station and analyzed for bisphenol A (BPA), alkylphenols, alkylphenol ethoxylates, polychlorinated biphenyls (PCBs) and polybrominated diphenyl ethers (PBDEs), exhibited variability in contaminant levels, but this variability was not related to plastic debris density for most of the targeted compounds with the exception of PBDEs. We found that myctophid sampled at stations with greater plastic densities did have significantly larger concentrations of BDE#s 183 –209 in their tissues suggesting that higher brominated congeners of PBDEs, added to plastics as flame-retardants, are indicative of plastic contamination in the marine environment. Our results provide data on a previously unsampled pelagic gyre and highlight the challenges associated with characterizing plastic debris accumulation and associated risks to wildlife.","2014-04-01","2021-01-26 13:15:25","2021-01-26 13:15:25","2021-01-26 13:15:25","622-633","","","476-477","","Science of The Total Environment","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\4UTN3L92\Rochman et al. - 2014 - Polybrominated diphenyl ethers (PBDEs) in fish tis.pdf; C:\Users\6161138\Zotero\storage\FUYZ8VKR\S0048969714000679.html","","","Myctophid; Plastic debris; Polybrominated diphenyl ethers (PBDEs); South Atlantic Gyre","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5855G2JJ","journalArticle","2020","Pabortsava, Katsiaryna; Lampitt, Richard S.","High concentrations of plastic hidden beneath the surface of the Atlantic Ocean","Nature Communications","","2041-1723","10.1038/s41467-020-17932-9","http://www.nature.com/articles/s41467-020-17932-9","Concern over plastic pollution of the marine environment is severe. The mass-imbalance between the plastic litter supplied to and observed in the ocean currently suggests a missing sink. However, here we show that the ocean interior conceals high loads of small-sized plastic debris which can balance and even exceed the estimated plastic inputs into the ocean since 1950. The combined mass of just the three most-littered plastics (polyethylene, polypropylene, and polystyrene) of 32–651 µm size-class suspended in the top 200 m of the Atlantic Ocean is 11.6–21.1 Million Tonnes. Considering that plastics of other sizes and polymer types will be found in the deeper ocean and in the sediments, our results indicate that both inputs and stocks of ocean plastics are much higher than determined previously. It is thus critical to assess these terms across all size categories and polymer groups to determine the fate and danger of plastic contamination.","2020-08-18","2021-01-26 13:15:48","2021-01-26 13:15:48","2021-01-26 13:15:48","4073","","1","11","","","","","","","","","","en","2020 The Author(s)","","","","www-nature-com.proxy.library.uu.nl","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\6161138\Zotero\storage\4YMXEPEB\Pabortsava and Lampitt - 2020 - High concentrations of plastic hidden beneath the .pdf; C:\Users\6161138\Zotero\storage\KDQJ5S5G\s41467-020-17932-9.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RM9UAE3","journalArticle","2014","Oberbeckmann, Sonja; Loeder, Martin G. J.; Gerdts, Gunnar; Osborn, A. Mark","Spatial and seasonal variation in diversity and structure of microbial biofilms on marine plastics in Northern European waters","FEMS Microbiology Ecology","","0168-6496","10.1111/1574-6941.12409","https://academic-oup-com.proxy.library.uu.nl/femsec/article/90/2/478/2680497","Plastic pollution is now recognised as a major threat to marine environments and marine biota. Recent research highlights that diverse microbial species are found to colonise plastic surfaces (the plastisphere) within marine waters. Here, we investigate how the structure and diversity of marine plastisphere microbial community vary with respect to season, location and plastic substrate type. We performed a 6-week exposure experiment with polyethylene terephthalate (PET) bottles in the North Sea (UK) as well as sea surface sampling of plastic polymers in Northern European waters. Scanning electron microscopy revealed diverse plastisphere communities comprising prokaryotic and eukaryotic microorganisms. Denaturing gradient gel electrophoresis (DGGE) and sequencing analysis revealed that plastisphere microbial communities on PET fragments varied both with season and location and comprised of bacteria belonging to Bacteroidetes, Proteobacteria, Cyanobacteria and members of the eukaryotes Bacillariophyceae and Phaeophyceae. Polymers sampled from the sea surface mainly comprised polyethylene, polystyrene and polypropylene particles. Variation within plastisphere communities on different polymer types was observed, but communities were primarily dominated by Cyanobacteria. This research reveals that the composition of plastisphere microbial communities in marine waters varies with season, geographical location and plastic substrate type. We investigated structural and taxonomical variation of microbial biofilm communities on plastic fragments in coastal and offshore Northern European waters, with respect to season, geographical location and plastic type. We investigated structural and taxonomical variation of microbial biofilm communities on plastic fragments in coastal and offshore Northern European waters, with respect to season, geographical location and plastic type.","2014-11-01","2021-01-26 13:47:03","2021-01-26 13:47:44","2021-01-26 13:47:03","478-492","","2","90","","FEMS Microbiol Ecol","","","","","","","","en","","","","","academic-oup-com.proxy.library.uu.nl","","Publisher: Oxford Academic","","C:\Users\6161138\Zotero\storage\N4F3QA88\2680497.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZUJ9UCL","journalArticle","2020","Montoto-Martínez, Tania; Hernández-Brito, José Joaquín; Gelado-Caballero, Mª Dolores","Pump-underway ship intake: An unexploited opportunity for Marine Strategy Framework Directive (MSFD) microplastic monitoring needs on coastal and oceanic waters","PLOS ONE","","1932-6203","10.1371/journal.pone.0232744","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0232744","Broad scale sampling methods for microplastic monitoring in the open ocean waters remain a challenge in oceanography. A large number of samples is required to understand the distribution, abundance and fate of microplastic particles in the environment. Despite more than a decade of widespread study, there is currently no established time series of microplastic measurements and the research community is yet to establish a standardised set of methods that will allow data to be collected in a quick, affordable and interoperable way. We present a sampling technique involving the connection of a custom-built microplastic sampling device to the pump-underway ship intake system of a research vessel (RV) as an unexploited opportunity for oceanic monitoring needs concerning microplastic abundance and distribution. The method is cost effective, highly versatile and accurate, and is able to sample particles down to 50μm from opportunity platforms, thus contributing to an emerging area of study, and in particular helping to increase the monitoring reporting of data, and thereby serving as a valuable aid for the implementation of the Marine Strategy Framework Directive (MSFD). Sampling was performed during three consecutive oceanographic cruises in the subtropical NE Atlantic over a year, sampling subsurface waters (4 m depth) during navigation and while on coastal and oceanic stations. Microplastic particles were found in all stations and transects sampled. Fibres (64.42%) were predominant over fragments (35.58%), with the concentration values falling within the ranges of data reported for other areas of the Atlantic.","2020-05-08","2021-01-26 13:49:58","2021-01-26 13:49:58","2021-01-26 13:49:58","e0232744","","5","15","","PLOS ONE","Pump-underway ship intake","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","C:\Users\6161138\Zotero\storage\C79JMG4P\Montoto-Martínez et al. - 2020 - Pump-underway ship intake An unexploited opportun.pdf; C:\Users\6161138\Zotero\storage\7ZXBUCBL\article.html","","","Marine environments; Marine fish; Marine monitoring; Measurement equipment; Oceanography; Sea water; Ships; Water pollution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GF8CLRUQ","journalArticle","2014","Lusher, Amy L.; Burke, Ann; O’Connor, Ian; Officer, Rick","Microplastic pollution in the Northeast Atlantic Ocean: Validated and opportunistic sampling","Marine Pollution Bulletin","","0025-326X","10.1016/j.marpolbul.2014.08.023","http://www.sciencedirect.com/science/article/pii/S0025326X14005530","Levels of marine debris, including microplastics, are largely un-documented in the Northeast Atlantic Ocean. Broad scale monitoring efforts are required to understand the distribution, abundance and ecological implications of microplastic pollution. A method of continuous sampling was developed to be conducted in conjunction with a wide range of vessel operations to maximise vessel time. Transects covering a total of 12,700km were sampled through continuous monitoring of open ocean sub-surface water resulting in 470 samples. Items classified as potential plastics were identified in 94% of samples. A total of 2315particles were identified, 89% were less than 5mm in length classifying them as microplastics. Average plastic abundance in the Northeast Atlantic was calculated as 2.46particlesm−3. This is the first report to demonstrate the ubiquitous nature of microplastic pollution in the Northeast Atlantic Ocean and to present a potential method for standardised monitoring of microplastic pollution.","2014-11-15","2021-01-26 13:50:24","2021-01-26 13:50:24","2021-01-26 13:50:24","325-333","","1","88","","Marine Pollution Bulletin","Microplastic pollution in the Northeast Atlantic Ocean","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\WBGGUMH5\Lusher et al. - 2014 - Microplastic pollution in the Northeast Atlantic O.pdf; C:\Users\6161138\Zotero\storage\NMLKGQ6Y\S0025326X14005530.html","","","Continuous monitoring; Fibres; Neuston; Plastic; Sub-surface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAZNN7MC","journalArticle","2019","Lorenz, Claudia; Roscher, Lisa; Meyer, Melanie S.; Hildebrandt, Lars; Prume, Julia; Löder, Martin G. J.; Primpke, Sebastian; Gerdts, Gunnar","Spatial distribution of microplastics in sediments and surface waters of the southern North Sea","Environmental Pollution","","0269-7491","10.1016/j.envpol.2019.06.093","http://www.sciencedirect.com/science/article/pii/S0269749119318548","Microplastic pollution within the marine environment is of pressing concern globally. Accordingly, spatial monitoring of microplastic concentrations, composition and size distribution may help to identify sources and entry pathways, and hence allow initiating focused mitigation. Spatial distribution patterns of microplastics were investigated in two compartments of the southern North Sea by collecting sublittoral sediment and surface water samples from 24 stations. Large microplastics (500−5000 μm) were detected visually and identified using attenuated total reflection (ATR) Fourier transform infrared (FTIR) spectroscopy. The remaining sample was digested enzymatically, concentrated onto filters and analyzed for small microplastics (11−500 μm) using Focal Plane Array (FPA) FTIR imaging. Microplastics were detected in all samples with concentrations ranging between 2.8 and 1188.8 particles kg−1 for sediments and 0.1–245.4 particles m−3 for surface waters. On average 98% of microplastics were <100 μm in sediments and 86% in surface waters. The most prevalent polymer types in both compartments were polypropylene, acrylates/polyurethane/varnish, and polyamide. However, polymer composition differed significantly between sediment and surface water samples as well as between the Frisian Islands and the English Channel sites. These results show that microplastics are not evenly distributed, in neither location nor size, which is illuminating regarding the development of monitoring protocols.","2019-09-01","2021-01-26 13:50:42","2021-01-26 13:50:42","2021-01-26 13:50:42","1719-1729","","","252","","Environmental Pollution","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\6161138\Zotero\storage\2LCWKA5U\Lorenz et al. - 2019 - Spatial distribution of microplastics in sediments.pdf; C:\Users\6161138\Zotero\storage\98QYE5ST\S0269749119318548.html","","","Enzymatic sample treatment; FTIR imaging; Microplastic; Polymer diversity; Spatial distribution patterns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7P3V5NZ","journalArticle","2017","Löder, Martin G. J.; Imhof, Hannes K.; Ladehoff, Maike; Löschel, Lena A.; Lorenz, Claudia; Mintenig, Svenja; Piehl, Sarah; Primpke, Sebastian; Schrank, Isabella; Laforsch, Christian; Gerdts, Gunnar","Enzymatic Purification of Microplastics in Environmental Samples","Environmental Science & Technology","","0013-936X","10.1021/acs.est.7b03055","https://doi.org/10.1021/acs.est.7b03055","Micro-Fourier transform infrared (micro-FTIR) spectroscopy and Raman spectroscopy enable the reliable identification and quantification of microplastics (MPs) in the lower micron range. Since concentrations of MPs in the environment are usually low, the large sample volumes required for these techniques lead to an excess of coenriched organic or inorganic materials. While inorganic materials can be separated from MPs using density separation, the organic fraction impedes the ability to conduct reliable analyses. Hence, the purification of MPs from organic materials is crucial prior to conducting an identification via spectroscopic techniques. Strong acidic or alkaline treatments bear the danger of degrading sensitive synthetic polymers. We suggest an alternative method, which uses a series of technical grade enzymes for purifying MPs in environmental samples. A basic enzymatic purification protocol (BEPP) proved to be efficient while reducing 98.3 ± 0.1% of the sample matrix in surface water samples. After showing a high recovery rate (84.5 ± 3.3%), the BEPP was successfully applied to environmental samples from the North Sea where numbers of MPs range from 0.05 to 4.42 items m–3. Experiences with different environmental sample matrices were considered in an improved and universally applicable version of the BEPP, which is suitable for focal plane array detector (FPA)-based micro-FTIR analyses of water, wastewater, sediment, biota, and food samples.","2017-12-19","2021-01-26 13:51:00","2021-01-26 13:51:00","2021-01-26 13:51:00","14283-14292","","24","51","","Environ. Sci. Technol.","","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","C:\Users\6161138\Zotero\storage\A94K6EIF\Löder et al. - 2017 - Enzymatic Purification of Microplastics in Environ.pdf; C:\Users\6161138\Zotero\storage\K6UUZNKB\acs.est.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DITRNMSU","journalArticle","2016","Kooi, Merel; Reisser, Julia; Slat, Boyan; Ferrari, Francesco F.; Schmid, Moritz S.; Cunsolo, Serena; Brambini, Roberto; Noble, Kimberly; Sirks, Lys-Anne; Linders, Theo E. W.; Schoeneich-Argent, Rosanna I.; Koelmans, Albert A.","The effect of particle properties on the depth profile of buoyant plastics in the ocean","Scientific Reports","","2045-2322","10.1038/srep33882","http://www.nature.com/articles/srep33882","Most studies on buoyant microplastics in the marine environment rely on sea surface sampling. Consequently, microplastic amounts can be underestimated, as turbulence leads to vertical mixing. Models that correct for vertical mixing are based on limited data. In this study we report measurements of the depth profile of buoyant microplastics in the North Atlantic subtropical gyre, from 0 to 5 m depth. Microplastics were separated into size classes (0.5–1.5 and 1.5–5.0 mm) and types (‘fragments’ and ‘lines’) and associated with a sea state. Microplastic concentrations decreased exponentially with depth, with both sea state and particle properties affecting the steepness of the decrease. Concentrations approached zero within 5 m depth, indicating that most buoyant microplastics are present on or near the surface. Plastic rise velocities were also measured and were found to differ significantly for different sizes and shapes. Our results suggest that (1) surface samplers such as manta trawls underestimate total buoyant microplastic amounts by a factor of 1.04–30.0 and (2) estimations of depth-integrated buoyant plastic concentrations should be done across different particle sizes and types. Our findings can assist with improving buoyant ocean plastic vertical mixing models, mass balance exercises, impact assessments and mitigation strategies.","2016-10-10","2021-01-26 13:51:20","2021-01-26 13:51:20","2021-01-26 13:51:20","33882","","1","6","","","","","","","","","","en","2016 The Author(s)","","","","www-nature-com.proxy.library.uu.nl","","Number: 1 Publisher: Nature Publishing Group","","C:\Users\6161138\Zotero\storage\SIWQBTJP\Kooi et al. - 2016 - The effect of particle properties on the depth pro.pdf; C:\Users\6161138\Zotero\storage\F6JEYKPP\srep33882.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
